# Train on 1K_60 from random:
counter = 54501	PSNR = 27.063664	SSIM = 0.989982
counter = 55001	PSNR = 27.181987	SSIM = 0.990184
counter = 55501	PSNR = 27.265885	SSIM = 0.990295
counter = 56001	PSNR = 27.310030	SSIM = 0.990310

# Train on 1W_4 from 56001 above:
counter = 500	PSNR = 28.342007	SSIM = 0.992580
counter = 1000	PSNR = 28.878446	SSIM = 0.993465
counter = 1500	PSNR = 28.339071	SSIM = 0.993015
counter = 2000	PSNR = 28.656463	SSIM = 0.993210
counter = 2500	PSNR = 28.427109	SSIM = 0.993072
counter = 3000	PSNR = 28.575962	SSIM = 0.993190
counter = 3500	PSNR = 28.777257	SSIM = 0.993396
counter = 4000	PSNR = 28.738965	SSIM = 0.993229
counter = 4500	PSNR = 28.653142	SSIM = 0.993343
counter = 5000	PSNR = 28.334807	SSIM = 0.992979
counter = 5500	PSNR = 28.059045	SSIM = 0.992709
counter = 6000	PSNR = 28.974654	SSIM = 0.993528
counter = 6500	PSNR = 28.530595	SSIM = 0.993150
counter = 7000	PSNR = 28.586323	SSIM = 0.993185
counter = 7500	PSNR = 28.653053	SSIM = 0.993165
counter = 8000	PSNR = 28.557286	SSIM = 0.993227
counter = 8500	PSNR = 28.251344	SSIM = 0.992800
counter = 9000	PSNR = 27.654840	SSIM = 0.992103
counter = 9500	PSNR = 28.589784	SSIM = 0.993146
counter = 10000	PSNR = 28.664011	SSIM = 0.993317
counter = 10500	PSNR = 28.723008	SSIM = 0.993407
counter = 11000	PSNR = 28.209036	SSIM = 0.992887
counter = 11500	PSNR = 28.461795	SSIM = 0.993016
counter = 12000	PSNR = 28.596440	SSIM = 0.993249
counter = 12500	PSNR = 28.611608	SSIM = 0.993323
counter = 13000	PSNR = 28.502511	SSIM = 0.993210
counter = 13500	PSNR = 28.273627	SSIM = 0.992954
counter = 14000	PSNR = 28.930641	SSIM = 0.993514
counter = 14500	PSNR = 28.342461	SSIM = 0.992927
counter = 15000	PSNR = 28.724040	SSIM = 0.993481
counter = 15500	PSNR = 28.463446	SSIM = 0.993107
counter = 16000	PSNR = 28.671862	SSIM = 0.993443
counter = 16500	PSNR = 28.493665	SSIM = 0.993128
counter = 17000	PSNR = 28.550152	SSIM = 0.993157
counter = 17500	PSNR = 28.640902	SSIM = 0.993222
counter = 18000	PSNR = 28.955743	SSIM = 0.993579
counter = 18500	PSNR = 28.670758	SSIM = 0.993362
counter = 19000	PSNR = 28.664375	SSIM = 0.993292
counter = 19500	PSNR = 28.410533	SSIM = 0.993039
counter = 20000	PSNR = 28.792927	SSIM = 0.993466
counter = 20500	PSNR = 28.514551	SSIM = 0.993166
counter = 21000	PSNR = 28.517189	SSIM = 0.992985
counter = 21500	PSNR = 28.605698	SSIM = 0.993289
counter = 22000	PSNR = 28.511080	SSIM = 0.993178
counter = 22500	PSNR = 28.661161	SSIM = 0.993380
counter = 23000	PSNR = 28.774438	SSIM = 0.993429
counter = 23500	PSNR = 28.540124	SSIM = 0.993279
counter = 24000	PSNR = 28.609751	SSIM = 0.993319
counter = 24500	PSNR = 28.759166	SSIM = 0.993390
counter = 25000	PSNR = 28.553445	SSIM = 0.993215
counter = 25500	PSNR = 28.832176	SSIM = 0.993422
counter = 26000	PSNR = 28.685660	SSIM = 0.993406
counter = 26500	PSNR = 28.510356	SSIM = 0.993187
counter = 27000	PSNR = 28.598391	SSIM = 0.993335
counter = 27500	PSNR = 28.689240	SSIM = 0.993473
counter = 28000	PSNR = 28.543219	SSIM = 0.993086
counter = 28500	PSNR = 28.573539	SSIM = 0.993215
counter = 29000	PSNR = 28.537749	SSIM = 0.993235
counter = 29500	PSNR = 28.442939	SSIM = 0.993224
counter = 30000	PSNR = 28.829855	SSIM = 0.993486
counter = 30500	PSNR = 28.743729	SSIM = 0.993377
counter = 31000	PSNR = 28.808372	SSIM = 0.993494
counter = 31500	PSNR = 28.470943	SSIM = 0.993210
counter = 32000	PSNR = 28.928000	SSIM = 0.993469
counter = 32500	PSNR = 28.481193	SSIM = 0.993174
counter = 33000	PSNR = 27.675125	SSIM = 0.992170
counter = 33500	PSNR = 28.666887	SSIM = 0.993348
counter = 34000	PSNR = 28.216278	SSIM = 0.992793
counter = 34500	PSNR = 28.515203	SSIM = 0.993160
counter = 35000	PSNR = 28.393825	SSIM = 0.993140
counter = 35500	PSNR = 28.687346	SSIM = 0.993403
counter = 36000	PSNR = 28.621296	SSIM = 0.993274
counter = 36500	PSNR = 28.737150	SSIM = 0.993450
counter = 37000	PSNR = 28.499885	SSIM = 0.993108
counter = 37500	PSNR = 28.054046	SSIM = 0.992545
counter = 38000	PSNR = 28.463417	SSIM = 0.993124
counter = 38500	PSNR = 28.506498	SSIM = 0.993224
counter = 39000	PSNR = 28.425892	SSIM = 0.993102
counter = 39500	PSNR = 28.559375	SSIM = 0.993140
counter = 40000	PSNR = 28.773474	SSIM = 0.993435
counter = 40500	PSNR = 28.749774	SSIM = 0.993395
counter = 41000	PSNR = 28.596843	SSIM = 0.993206
counter = 41500	PSNR = 28.786745	SSIM = 0.993431
counter = 42000	PSNR = 28.332848	SSIM = 0.993015
counter = 42500	PSNR = 28.557566	SSIM = 0.993046
counter = 43000	PSNR = 28.456119	SSIM = 0.993135
counter = 43500	PSNR = 28.606626	SSIM = 0.993263
counter = 44000	PSNR = 28.480559	SSIM = 0.993045
counter = 44500	PSNR = 28.739609	SSIM = 0.993398
counter = 45000	PSNR = 28.752034	SSIM = 0.993364
counter = 45500	PSNR = 28.502623	SSIM = 0.993108
counter = 46000	PSNR = 28.728285	SSIM = 0.993292
counter = 46500	PSNR = 28.937574	SSIM = 0.993579
counter = 47000	PSNR = 28.834309	SSIM = 0.993561
counter = 47500	PSNR = 28.719754	SSIM = 0.993409
counter = 48000	PSNR = 28.640126	SSIM = 0.993256
counter = 48500	PSNR = 28.826134	SSIM = 0.993455
counter = 49000	PSNR = 28.344919	SSIM = 0.992973
counter = 49500	PSNR = 28.333992	SSIM = 0.993041
counter = 50000	PSNR = 28.460999	SSIM = 0.993084
counter = 50500	PSNR = 28.777419	SSIM = 0.993370
counter = 51000	PSNR = 28.833391	SSIM = 0.993434
counter = 51500	PSNR = 28.579138	SSIM = 0.993084
counter = 52000	PSNR = 28.551244	SSIM = 0.993178
counter = 52500	PSNR = 28.736385	SSIM = 0.993398
counter = 53000	PSNR = 28.534445	SSIM = 0.993205
counter = 53500	PSNR = 28.514887	SSIM = 0.993159
counter = 54000	PSNR = 28.561457	SSIM = 0.993037
counter = 54500	PSNR = 28.594779	SSIM = 0.993160
counter = 55000	PSNR = 28.602013	SSIM = 0.993318
counter = 55500	PSNR = 28.646916	SSIM = 0.993256
counter = 56000	PSNR = 28.868930	SSIM = 0.993371
counter = 56500	PSNR = 28.502804	SSIM = 0.993053
counter = 57000	PSNR = 28.833594	SSIM = 0.993417
counter = 57500	PSNR = 28.673391	SSIM = 0.993295
counter = 58000	PSNR = 28.553441	SSIM = 0.993173
counter = 58500	PSNR = 28.769471	SSIM = 0.993373
counter = 59000	PSNR = 28.341396	SSIM = 0.993082
counter = 59500	PSNR = 28.616297	SSIM = 0.993232
counter = 60000	PSNR = 28.682648	SSIM = 0.993316

# Train on 1W_4 from 60000 above:
counter=0	 PSNR=28.684373	 SSIM=0.993320
counter=500	 PSNR=28.676490	 SSIM=0.993278
counter=1000	 PSNR=28.569067	 SSIM=0.993149
counter=1500	 PSNR=28.679653	 SSIM=0.993279
counter=2000	 PSNR=28.486739	 SSIM=0.993039
counter=2500	 PSNR=28.613821	 SSIM=0.993229
counter=3000	 PSNR=28.885900	 SSIM=0.993420
